172.17.130.164 ,  PJXRMYY-ACC-NW-ZY-9F-02-S5000-164
172.17.130.165 ,  PJXRMYY-ACC-NW-ZY-9F-02-S5000-165
172.17.130.166 ,  PJXRMYY-ACC-NW-ZY-9F-02-S5000-166
172.17.130.167 ,  PJXRMYY-ACC-NW-ZY-9F-02-S5000-167
172.17.130.168 ,  PJXRMYY-ACC-NW-ZY-9F-02-S5000-168
172.17.130.169 , PJXRMYY-ACC-NW-ZY-9F-02-S5000-169-POE
172.17.130.170 , PJXRMYY-ACC-NW-ZY-9F-02-S5000-170-POE
172.17.130.171 , PJXRMYY-ACC-NW-ZY-10F-02-S5000-171-POE
172.17.130.172 , PJXRMYY-ACC-NW-ZY-10F-02-S5000-172-POE
172.17.130.173 ,  PJXRMYY-ACC-NW-ZY-10F-02-S5000-173
172.17.130.13  ,  PJXRMYY-ACC-NW-ZY-10F-02-S5000-13
172.17.130.174 ,  PJXRMYY-ACC-NW-ZY-10F-02-S5000-174
172.17.130.175 ,  PJXRMYY-ACC-NW-ZY-10F-02-S5000-175
172.17.130.176 ,  PJXRMYY-ACC-NW-ZY-10F-02-S5000-176
172.17.130.177 ,  PJXRMYY-ACC-NW-ZY-10F-02-S5000-177
172.17.130.178 ,  PJXRMYY-ACC-NW-ZY-10F-02-S5000-178
172.17.130.179 , PJXRMYY-ACC-NW-ZY-10F-02-S5000-179-POE
172.17.130.180 , PJXRMYY-ACC-NW-ZY-10F-02-S5000-180-POE
172.17.130.181 , PJXRMYY-ACC-NW-ZY-11F-02-S5000-181-POE
172.17.130.182 , PJXRMYY-ACC-NW-ZY-11F-02-S5000-182-POE
172.17.130.183 ,  PJXRMYY-ACC-NW-ZY-11F-02-S5000-183
172.17.130.184 ,  PJXRMYY-ACC-NW-ZY-11F-02-S5000-184
172.17.130.185 ,  PJXRMYY-ACC-NW-ZY-11F-02-S5000-185
172.17.130.186 ,  PJXRMYY-ACC-NW-ZY-11F-02-S5000-186
172.17.130.187 ,  PJXRMYY-ACC-NW-ZY-11F-02-S5000-187
172.17.130.188 ,  PJXRMYY-ACC-NW-ZY-11F-02-S5000-188
172.17.130.189 ,  PJXRMYY-ACC-NW-ZY-11F-02-S5000-189
172.17.130.190 , PJXRMYY-ACC-NW-ZY-11F-02-S5000-190-POE
172.17.130.191 , PJXRMYY-ACC-NW-ZY-11F-02-S5000-191-POE
172.17.130.11  ,  PJXRMYY-ACC-NW-ZY-12F-02-S5000-11
172.17.130.12  , PJXRMYY-ACC-NW-ZY-12F-02-S5000-12-POE
172.17.130.193 ,  PJXRMYY-ACC-NW-ZY-12F-02-S5000-193
172.17.130.194 ,  PJXRMYY-ACC-NW-ZY-12F-02-S5000-194
172.17.130.195 ,  PJXRMYY-ACC-NW-ZY-12F-02-S5000-195
172.17.130.196 ,  PJXRMYY-ACC-NW-ZY-12F-02-S5000-196
172.17.130.197 ,  PJXRMYY-ACC-NW-ZY-12F-02-S5000-197
172.17.130.198 ,  PJXRMYY-ACC-NW-ZY-12F-02-S5000-198
172.17.130.199 , PJXRMYY-ACC-NW-ZY-12F-02-S5000-199-POE
172.17.130.200 , PJXRMYY-ACC-NW-ZY-12F-02-S5000-200-POE
172.17.252.51  ,  PJXRMYY-ACC-NW-MZ-1F-03-S5000-51
172.17.252.52  ,  PJXRMYY-ACC-NW-MZ-1F-03-S5000-52
172.17.252.53  , PJXRMYY-ACC-NW-MZ-1F-03-S5000-53-POE
172.17.252.56  ,  PJXRMYY-ACC-NW-MZ-2F-03-S5000-56
172.17.252.57  ,  PJXRMYY-ACC-NW-MZ-2F-03-S5000-57
172.17.252.58  ,  PJXRMYY-ACC-NW-MZ-2F-03-S5000-58
172.17.252.59  , PJXRMYY-ACC-NW-MZ-2F-03-S5000-59-POE
172.17.130.201 ,  PJXRMYY-ACC-NW-MZ-3F-03-S5000-201
172.17.130.202 ,  PJXRMYY-ACC-NW-MZ-3F-03-S5000-202
172.17.130.203 , PJXRMYY-ACC-NW-MZ-3F-03-S5000-203-POE
172.17.252.61  ,  PJXRMYY-ACC-NW-MZ-1F-04-S5000-61
172.17.252.62  ,  PJXRMYY-ACC-NW-MZ-1F-04-S5000-62
172.17.252.63  ,  PJXRMYY-ACC-NW-MZ-1F-04-S5000-63
172.17.252.64  , PJXRMYY-ACC-NW-MZ-1F-04-S5000-64-POE
172.17.252.65  ,  PJXRMYY-ACC-NW-MZ-2F-04-S5000-65
172.17.252.66  ,  PJXRMYY-ACC-NW-MZ-2F-04-S5000-66
172.17.252.67  ,  PJXRMYY-ACC-NW-MZ-2F-04-S5000-67
172.17.252.68  ,  PJXRMYY-ACC-NW-MZ-2F-04-S5000-68
172.17.252.69  , PJXRMYY-ACC-NW-MZ-2F-04-S5000-69-POE
172.17.130.211 ,  PJXRMYY-ACC-NW-MZ-3F-04-S5000-211
172.17.130.212 ,  PJXRMYY-ACC-NW-MZ-3F-04-S5000-212
172.17.130.213 ,  PJXRMYY-ACC-NW-MZ-3F-04-S5000-213
172.17.130.214 ,  PJXRMYY-ACC-NW-MZ-3F-04-S5000-214
172.17.130.215 ,  PJXRMYY-ACC-NW-MZ-3F-04-S5000-215
172.17.130.210 , PJXRMYY-ACC-NW-MZ-3F-04-S5000-210-POE
172.17.130.217 ,  PJXRMYY-ACC-NW-ZY-4F-04-S5000-217
172.17.130.218 ,  PJXRMYY-ACC-NW-ZY-4F-04-S5000-218
172.17.130.219 ,  PJXRMYY-ACC-NW-ZY-4F-04-S5000-219
172.17.130.220 , PJXRMYY-ACC-NW-ZY-4F-04-S5000-220-POE
172.17.252.72  ,  PJXRMYY-ACC-NW-ZY-1F-05-S5000-72
172.17.252.73  ,  PJXRMYY-ACC-NW-ZY-1F-05-S5000-73
172.17.252.74  ,  PJXRMYY-ACC-NW-ZY-1F-05-S5000-74
172.17.252.75  , PJXRMYY-ACC-NW-ZY-1F-05-S5000-75-POE
172.17.252.76  , PJXRMYY-ACC-NW-ZY-1F-05-S5000-76-POE
172.17.252.77  ,  PJXRMYY-ACC-NW-ZY-1F-05-S5000-77
172.17.252.151 ,  PJXRMYY-ACC-NW-ZY-2F-05-S5000-151
172.17.252.152 ,  PJXRMYY-ACC-NW-ZY-2F-05-S5000-152
172.17.252.153 ,  PJXRMYY-ACC-NW-ZY-2F-05-S5000-153
172.17.252.154 ,  PJXRMYY-ACC-NW-ZY-2F-05-S5000-154
172.17.252.155 , PJXRMYY-ACC-NW-ZY-2F-05-S5000-155-POE
172.17.252.156 ,  PJXRMYY-ACC-NW-ZY-3F-05-S5000-156
172.17.252.157 ,  PJXRMYY-ACC-NW-ZY-3F-05-S5000-157
172.17.252.158 ,  PJXRMYY-ACC-NW-ZY-3F-05-S5000-158
172.17.252.159 ,  PJXRMYY-ACC-NW-ZY-3F-05-S5000-159
